Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,15000.0,50.0,16000.0,879,100.0,15000.0,161,14500.0,110.0,14500.0,606,,,0,20000.0,,,0,,,0,16000.0,194.0,16000.0,1494,10.0,14000.0,128,6765.330078125,3.0,16200.0,3,,,0,14800.0,70.0,14800.0,70,,,0
ABH,,,49200.0,206.0,49200.0,2356,30.0,46000.0,1030,49900.0,101.0,49000.0,257,305.0,46000.0,309,46000.0,,,0,,,0,42000.0,13.0,46000.0,944,300.0,42000.0,1015,24074.48046875,5.0,60000.0,5,,,0,49631.05078125,34.0,49700.0,106,180.0,41600.0,505
ACS,,,130000.0,4.0,170000.0,29,8.0,120000.0,28,140000.0,4.0,150000.0,5,1.0,140000.0,3,74556.703125,,,0,,,0,120000.0,9.0,130000.0,16,2.0,120000.0,2,74556.703125,1.0,124000.0,1,,,0,180000.0,5.0,140000.0,5,,,0
ADE,,,45300.0,8.0,47700.0,1688,176.0,45300.0,562,47000.0,40.0,46000.0,164,20.0,41100.0,111,43000.0,,,0,,,0,39000.0,56.0,44500.0,885,194.0,39000.0,606,21210.509765625,7.0,60000.0,7,,,0,45965.25,22.0,44700.0,779,98.0,40600.0,415
ADR,70000.0,,81000.0,1.0,90000.0,11,2.0,81000.0,102,100000.0,1.0,150000.0,1,100.0,70000.0,100,60000.0,,,0,,,0,82000.0,34.0,120000.0,44,7.0,82000.0,127,29108.779296875,,,0,,,0,70000.0,25.0,100000.0,30,100.0,70000.0,100
ADS,,,119000.0,126.0,120000.0,347,3.0,90100.0,27,120000.0,84.0,120000.0,105,,,0,250000.0,,,0,,,0,118000.0,5.0,118000.0,387,6.0,113000.0,18,55055.921875,1.0,128000.0,1,,,0,120000.0,71.0,120000.0,236,3.0,60000.0,13
AEF,,,4300.0,6.0,5690.0,1394,46.0,4290.0,567,4914.83984375,1000.0,5000.0,2000,60.0,4650.0,907,4000.0,,,0,,,0,5770.0,2.0,5490.0,1355,200.0,4230.0,962,4500.0,197.0,4500.0,197,,,0,5800.0,332.0,5800.0,811,100.0,3100.0,300
AEN,,,2500000.0,1.0,2600000.0,1,,,0,1000000.0,,,0,,,0,974291.3125,,,0,1.0,1000000.0,1,2500000.0,,,0,1.0,2500000.0,5,974291.3125,,,0,,,0,974291.3125,,,0,,,0
AFP,,,134241.84375,,,0,,,0,134241.84375,,,0,,,0,134241.84375,,,0,,,0,30000.0,,,0,,,0,134241.84375,,,0,,,0,134241.84375,,,0,,,0
AFR,,,20000.0,38.0,30000.0,49,77.0,20000.0,126,19500.0,,,0,20.0,16000.0,20,7797.1201171875,,,0,,,0,23000.0,5.0,23000.0,46,49.0,18000.0,49,7797.1201171875,,,0,,,0,20000.0,,,0,,,0
AGS,,,499385.0,1.0,499000.0,2,2.0,250000.0,2,499000.0,1.0,598000.0,2,,,0,500000.0,,,0,,,0,599500.0,1.0,599000.0,8,1.0,450000.0,1,219398.5,,,0,,,0,799000.0,1.0,799000.0,2,,,0
AHP,,,9500.0,800.0,9000.0,2052,,,0,11900.0,397.0,13000.0,397,,,0,5547.2099609375,,,0,,,0,11000.0,4.0,10000.0,2490,100.0,8500.0,300,5547.2099609375,,,0,,,0,14500.0,37.0,12900.0,237,20.0,9000.0,20
AIR,200000.0,,200000.0,15.0,201000.0,127,100.0,200000.0,100,200000.0,10.0,201000.0,11,100.0,200000.0,100,90993.921875,,,0,,,0,200000.0,4.0,201000.0,14,100.0,200000.0,100,90993.921875,,,0,,,0,200000.0,10.0,201000.0,14,100.0,200000.0,100
AL,,,857.989990234375,500.0,929.0,111702,1715.0,832.0,27427,999.0,318.0,945.0,50507,5.0,911.0,6743,950.0,100.0,1200.0,100,161.0,950.0,164,1000.0,1065.0,990.0,68845,10.0,971.0,40307,1300.0,,,0,,,0,969.0,136.0,950.0,34732,30.0,916.0,6154
